epi_week,date,newCases,totalCases,newDeaths,deaths,deaths_by_totalCases,vaccinated,vaccinated_single,vaccinated_second,activeCases
9,2020-02-25,1,1,0,0,0.0,,,,
9,2020-02-26,0,1,0,0,0.0,,,,
9,2020-02-27,0,1,0,0,0.0,,,,
9,2020-02-28,1,2,0,0,0.0,,,,
9,2020-02-29,0,2,0,0,0.0,,,,
10,2020-03-01,0,2,0,0,0.0,,,,
10,2020-03-02,0,2,0,0,0.0,,,,
10,2020-03-03,0,2,0,0,0.0,,,,
10,2020-03-04,1,3,0,0,0.0,,,,
10,2020-03-05,4,7,0,0,0.0,,,,
10,2020-03-06,7,14,0,0,0.0,,,,
10,2020-03-07,5,19,0,0,0.0,,,,
11,2020-03-08,6,25,0,0,0.0,,,,
11,2020-03-09,0,25,0,0,0.0,,,,
11,2020-03-10,9,34,0,0,0.0,,,,
11,2020-03-11,19,53,0,0,0.0,,,,
11,2020-03-12,36,89,0,0,0.0,,,,
11,2020-03-13,17,106,0,0,0.0,,,,
11,2020-03-14,36,142,0,0,0.0,,,,
12,2020-03-15,83,225,0,0,0.0,,,,
12,2020-03-16,54,279,0,0,0.0,,,,
12,2020-03-17,54,333,1,1,0.003,,,,
12,2020-03-18,181,514,3,4,0.00778,,,,
12,2020-03-19,129,643,3,7,0.01089,,,,
12,2020-03-20,331,974,4,11,0.01129,,,,
12,2020-03-21,224,1198,7,18,0.01503,,,,
13,2020-03-22,396,1594,7,25,0.01568,,,,
13,2020-03-23,358,1952,9,34,0.01742,,,,1910.0
13,2020-03-24,303,2255,13,47,0.02084,,,,2188.0
13,2020-03-25,311,2566,12,59,0.02299,,,,2480.0
13,2020-03-26,424,2990,18,77,0.02575,,,,2871.0
13,2020-03-27,486,3476,16,93,0.02675,,,,3341.0
13,2020-03-28,479,3955,22,115,0.02908,,,,3784.0
14,2020-03-29,360,4315,24,139,0.03221,,,,4120.0
14,2020-03-30,348,4663,27,166,0.0356,,,,4431.0
14,2020-03-31,1161,5824,36,202,0.03468,,,,5556.0
14,2020-04-01,1107,6931,42,244,0.0352,,,,6609.0
14,2020-04-02,1169,8100,61,305,0.03765,,,,7717.0
14,2020-04-03,1112,9212,60,365,0.03962,,,,8769.0
14,2020-04-04,1169,10381,80,445,0.04287,,,,9858.0
15,2020-04-05,1043,11424,52,497,0.0435,,,,10823.0
15,2020-04-06,838,12262,73,570,0.04649,,,,11337.0
15,2020-04-07,1821,14083,121,691,0.04907,,,,12817.0
